Instance,Model Status,Elapsed Time [s],Total Seconds [s],Compilation Time [s],Execution Time [s],Generation Time [s],Solver Time [s],Startup Time [s],Closedown Time [s],Highwater RSS [GB],Highwater VSS [GB],# Rows,# Columns,# Non Zeros,# Non Zeros per s,"RHS [min, max]","Bound [min, max]","Matrix [min, max]"
1p5C_OS_SSP2,ERROR NO SOLUTION,44.126,39.078,1.547,37.515,13.25,,0.016,0.0,1.56,1.56,624436,863666,4650991,351018.1886792453,"9.222E-05, 3.258E+06","7.001E-06, 6.612E+07","6.977E-09, 2.535E+06"
BAU_IND_V2,ERROR NO SOLUTION,161.268,148.844,3.265,145.563,115.11,,0.016,0.0,4.56,4.56,6750106,6399364,40479629,351660.40309269394,"1.566E-14, 2.285E+05","3.516E-09, 5.000E+04","1.623E-07, 3.352E+06"
BEAM-ME_Instances/672_11_8,ERROR NO SOLUTION,311.12,285.078,0.781,284.281,245.234,,0.016,0.0,11.58,11.63,21108711,15111159,124095043,506027.0721025632,"4.097E-06, 5.940E+05","2.680E-02, 2.676E+05","1.882E-04, 1.663E+04"
BEAM-ME_Instances/672_22_8,ERROR NO SOLUTION,526.067,473.734,1.062,472.672,431.125,,0.0,0.0,20.56,20.66,37645140,27331345,218532379,506888.67265874165,"1.405E-06, 5.940E+05","8.298E-03, 2.676E+05","2.675E-04, 1.663E+04"
E4SMA,ERROR NO SOLUTION,138.844,121.125,1.968,119.141,55.344,,0.016,0.0,5.93,5.95,4229763,4437740,32382036,585104.726799653,"7.402E-16, 4.407E+06","9.557E-06, 1.000E+09","1.258E-09, 1.610E+06"
GAZNAT_V1_Instance,ERROR NO SOLUTION,134.399,122.281,3.032,119.234,93.0,,0.015,0.0,3.69,3.69,5336684,4555729,34188921,367622.8064516129,"1.566E-14, 2.291E+05","3.516E-09, 3.000E+06","1.623E-07, 3.352E+06"
Offshore,ERROR NO SOLUTION,165.835,156.094,0.484,155.594,110.656,,0.016,0.0,2.42,2.42,3326614,2091377,13911856,125721.65991902833,"1.000E+00, 6.000E+03","NA, NA","2.546E-05, 2.735E+06"
POLIZERO_V1_Instance,ERROR NO SOLUTION,229.803,209.562,3.265,206.297,113.218,,0.0,0.0,7.59,7.62,5640942,6991820,48190465,425643.13978342665,"7.918E-19, 5.440E+05","3.837E-19, 1.000E+07","7.309E-08, 4.178E+06"
POLIZERO_V2_Instance,ERROR NO SOLUTION,409.986,363.937,2.938,360.984,184.469,,0.015,0.0,13.67,13.73,10540301,13847195,69064648,374397.04232147406,"1.918E-18, 8.825E+06","1.823E-19, 2.919E+07","9.620E-19, 2.269E+06"
TIMES-DK-Instance,ERROR NO SOLUTION,16.436,15.172,1.75,13.407,7.766,,0.015,0.0,0.68,0.67,867042,1031037,4740351,610398.0169971671,"3.577E-08, 7.453E+04","4.606E-05, 4.500E+04","1.909E-09, 4.282E+06"
UK-TIMES,ERROR NO SOLUTION,19.041,16.813,0.484,16.313,10.75,,0.016,0.0,0.87,0.87,875780,932609,6883510,640326.5116279069,"4.659E-05, 6.697E+05","6.000E-04, 5.867E+05","2.793E-11, 3.746E+05"
